model_name,N_params_B,D_tokens_B,FLOPs,publication_date,organization,accessibility,country,family,N_params_B_B10,D_tokens_B_B10,val_loss,is_converged,FLOPs_over_6ND,tokens_per_param,is_open,usable_LLM_row,N,D,C6ND,L_B1_classic,L_Qref_pref,L_Q0p8_pref,L_Qref_pstar,N_opt_at_same_C_B,overtrain_ratio_tokens_per_param_vs_opt,N_equiv_mult_dQ0p1,N_equiv_mult_CI_low,N_equiv_mult_CI_high,diff_B10_minus_B1law
Grok-1,314.0,6200.0,2.9e+24,2023-11-04,xAI,Open weights (unrestricted),United States of America,Grok-1,314.0,6200.0,1.8474,1.0,0.2482706663927128,19.745222929936304,True,True,314000000000.0,6200000000000.0,1.16808e+25,1.8477220781802346,1.8477220781802346,1.8361364111275185,1.8378230935459505,125.37629827435914,0.15943056684836168,1.8819021952018016,1.7562710683367357,2.099348027955777,-0.00032207818023466395
AMIE (Articulate Medical Intelligence Explorer),340.0,3598.0,7.34e+24,2025-04-09,"Google DeepMind,Google Research",Unreleased,"United States of America,United States of America",AMIE (Articulate Medical Intelligence Explorer),340.0,3598.0,1.8637,1.0,1.0000108993013548,10.58235294117647,False,True,340000000000.0,3598000000000.0,7.33992e+24,1.8640831487771024,1.8640831487771024,1.8515115709544696,1.8535175316233927,101.64312837071847,0.08937132824382658,2.043026569808156,1.8996964088585306,2.3004010944271105,-0.0003831487771024378
Nemotron-4 340B,340.0,9000.0,1.7999999999999999e+25,2024-06-14,NVIDIA,Open weights (unrestricted),United States of America,Nemotron-4 340B,340.0,9000.0,1.8354,1.0,0.9803921568627452,26.47058823529412,True,True,340000000000.0,9000000000000.0,1.836e+25,1.8357298081397484,1.8357298081397484,1.8249435828594773,1.8263344963543002,153.78797512829587,0.2045911876648905,1.8253531080699639,1.6988363740169143,2.026584629114939,-0.00032980813974847756
PaLM 2,340.0,3600.0,7.34e+24,2023-05-10,Google,API access,United States of America,PaLM 2,340.0,3600.0,1.8637,1.0,0.9994553376906318,10.588235294117649,False,True,340000000000.0,3600000000000.0,7.344e+24,1.864063664372506,1.864063664372506,1.851493313443442,1.8534988280853073,101.66864343013309,0.08941620291456354,2.042865340648865,1.8647051372323007,2.322992046289865,-0.0003636643725060118
GLM-4.5,355.0,23100.0,4.42e+24,2025-08-05,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China",GLM-4.5,355.0,23100.0,1.8123,1.0,0.0898319208178363,65.07042253521126,True,True,355000000000.0,23100000000000.0,4.9203e+25,1.8125479085832075,1.8125479085832075,1.803244951583524,1.8041683790731042,240.0426782099077,0.45721473804550916,1.6813901656941272,1.5980221188199268,1.8210729194766733,-0.0002479085832074457
GLM-4.6,357.0,23000.0,4.42e+24,2025-09-30,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China",GLM-4.6,357.0,23000.0,1.8123,1.0,0.0897170462387853,64.42577030812325,True,True,357000000000.0,23000000000000.0,4.9266e+25,1.8125466085686466,1.8125466085686466,1.8032467727678636,1.8041671377684454,240.1814499207447,0.45262912134289945,1.6828969456498986,1.5919380395223413,1.8275220871704125,-0.0002466085686465558
GLM-4.7,358.0,2057.7,4.42e+24,2025-12-22,Z.ai (Zhipu AI),Open weights (unrestricted),China,GLM-4.7,358.0,2057.7,1.884,1.0,1.0000136653451102,5.747765363128491,True,True,358000000000.0,2057699999999.9998,4.4199395999999997e+24,1.8844453233274716,1.8844453233274716,1.8706196819318988,1.8730791216829277,80.83280378867043,0.05098110365108526,2.253429063429595,2.0352051120161407,2.597597741037984,-0.0004453233274717139
Hunyuan-Large,389.0,7000.0,3.492e+24,2024-11-06,Tencent,Open weights (restricted use),China,Hunyuan-Large,389.0,7000.0,1.8403,1.0,0.2137348512669849,17.994858611825194,True,True,389000000000.0,7000000000000.0,1.6338e+25,1.8406096036138755,1.8406096036138755,1.8295884243009857,1.8310077008295316,145.89312676333907,0.14065995094391215,1.912956064146715,1.7666304853277557,2.1534692470152597,-0.0003096036138754421
Arcee Trinity Large,398.0,555.3,1.326e+24,2026-02-19,"Prime Intellect,Arcee AI",Open weights (restricted use),"United States of America,United States of America",Arcee Trinity Large,398.0,555.3,1.9471,1.0,0.9999574678724072,1.3952261306532665,True,True,398000000000.0,555300000000.0,1.3260564e+24,1.9476348773930572,1.9476348773930572,1.9298864930941655,1.9339481732639126,46.928095840473546,0.013902718234468012,3.1253146621634778,2.5730278651743363,4.3953901487637115,-0.0005348773930571316
Llama 4 Maverick,400.0,30000.0,2.244e+24,2025-04-05,Meta AI,Open weights (restricted use),United States of America,Llama 4 Maverick,400.0,30000.0,1.8051,1.0,0.0311666666666666,75.0,True,True,400000000000.0,30000000000000.0,7.2e+25,1.805386464193745,1.805386464193745,1.7965977835755154,1.7973336551421877,285.0802126479769,0.5079420477713485,1.6660443649463652,1.5811270235715846,1.8028157177533704,-0.0002864641937450063
Llama 3.1-405B,405.0,15600.0,3.8e+25,2024-07-23,Meta AI,Open weights (restricted use),United States of America,Llama 3.1-405B,405.0,15600.0,1.8188,1.0,1.0024269283528542,38.51851851851852,True,True,405000000000.0,15600000000000.0,3.7908e+25,1.8190858034468145,1.8190858034468145,1.8094409490172245,1.8104136355001288,213.3696418335177,0.27755893343187704,1.7645611912605481,1.654892136252426,1.9297502270348725,-0.0002858034468145032
MiniMax-M1-80k,456.0,7500.0,4.324e+24,2025-06-13,MiniMax,Open weights (unrestricted),China,MiniMax-M1-80k,456.0,7500.0,1.8359,1.0,0.2107212475633528,16.44736842105263,True,True,456000000000.0,7500000000000.0,2.052e+25,1.836170221152388,1.836170221152388,1.8255097868034764,1.8267561684057434,161.71111987293253,0.12576218783932533,1.9423658509505262,1.7934181890719016,2.1637003984369225,-0.0002702211523879505
MiniMax-M1-40k,456.0,7500.0,4.186e+24,2025-06-13,MiniMax,Open weights (unrestricted),China,MiniMax-M1-40k,456.0,7500.0,1.8359,1.0,0.2039961013645224,16.44736842105263,True,True,456000000000.0,7500000000000.0,2.052e+25,1.836170221152388,1.836170221152388,1.8255097868034764,1.8267561684057434,161.71111987293253,0.12576218783932533,1.9423658509505262,1.7725030454643518,2.2262888022089324,-0.0002702211523879505
MiniMax-Text-01,456.0,7200.0,3.142e+24,2025-01-14,MiniMax,Open weights (restricted use),China,MiniMax-Text-01,456.0,7200.0,1.837,1.0,0.1594988628979857,15.789473684210526,True,True,456000000000.0,7200000000000.0,1.96992e+25,1.8373421800355862,1.8373421800355862,1.826607949804968,1.8278783500946527,158.75683462234846,0.12120908615779706,1.9524151501510123,1.7983922987497107,2.224545038321705,-0.0003421800355862814
Qwen3-Coder-480B-A35B,480.0,7500.0,1.575e+24,2025-07-22,Alibaba,Open weights (unrestricted),China,Qwen3-Coder-480B-A35B,480.0,7500.0,1.8351,1.0,0.0729166666666666,15.625,True,True,480000000000.0,7500000000000.0,2.16e+25,1.8354070118501413,1.8354070118501413,1.8248199236323517,1.8260254483062772,165.50127350664016,0.11888312297013766,1.957770003202328,1.787148229570192,2.230805330443364,-0.0003070118501413699
Arctic,480.0,133.1,3.835e+23,2024-04-24,Snowflake,Open weights (unrestricted),United States of America,Arctic,480.0,133.1,2.0479,1.0,1.000448701894983,0.2772916666666666,True,True,480000000000.0,133100000000.0,3.83328e+23,2.048717334340919,2.048717334340919,2.02469852633244,2.031688196300092,26.791045475068223,0.0031152782883991895,6.235300804485728,4.275407144297669,10.788343245664903,-0.0008173343409190181
Doubao-pro,500.0,8350.0,2.505e+25,2024-10-28,ByteDance,API access,China,Doubao-pro,500.0,8350.0,1.8315,1.0,1.0,16.7,False,True,500000000000.0,8350000000000.0,2.505e+25,1.8317900904275373,1.8317900904275373,1.821450565508489,1.8225632932402518,176.95699865445627,0.12525511749117296,1.943457893226397,1.7794049659001212,2.159652423544934,-0.0002900904275373595
MegaScale (530B),530.0,300.0,9.691e+23,2024-02-23,"ByteDance,Peking University",Unreleased,"China,China",MegaScale (530B),530.0,300.0,1.9824,1.0,1.0158280922431866,0.5660377358490566,False,True,530000000000.0,300000000000.0,9.54e+23,1.9831115310895038,1.9831115310895038,1.9632714097427129,1.96820808548288,40.44257186308157,0.00582271847241195,4.401186762572365,3.254777601902718,7.277969889335883,-0.0007115310895038363
MegaScale (Production),530.0,1226.4,3.9e+24,2024-02-23,"ByteDance,Peking University",Unreleased,"China,China",MegaScale (Production),530.0,1226.4,1.9008,1.0,1.0000123078437888,2.3139622641509434,False,True,530000000000.0,1226400000000.0,3.899952e+24,1.9012948316400884,1.9012948316400884,1.886606542461434,1.889287551049366,76.38999585160748,0.02077405292349095,2.772784486134286,2.325982447284951,3.432858653171097,-0.0004948316400883446
Megatron-Turing NLG 530B,530.0,270.0,8.586e+23,2021-10-11,"Microsoft,NVIDIA",Unreleased,"United States of America,United States of America",Megatron-Turing NLG 530B,530.0,270.0,1.9899,1.0,1.0,0.5094339622641509,False,True,530000000000.0,270000000000.0,8.586e+23,1.9906302366164665,1.9906302366164665,1.970316677582049,1.9754755093422214,38.56308189263946,0.005294094998427971,4.609928562462634,3.406893412120121,6.909899395134336,-0.0007302366164665397
PaLM (540B),540.4,780.0,2.527e+24,2022-04-04,Google Research,Unreleased,United States of America,PaLM (540B),540.4,780.0,1.9234,1.0,0.9991807271600018,1.4433752775721689,False,True,540400000000.0,780000000000.0,2.529072e+24,1.9238880030201075,1.9238880030201075,1.907786219870689,1.9110477679591573,62.81730181675947,0.0135122563471703,3.1544219905404063,2.6171158021537644,4.1737194734606105,-0.0004880030201075414
LongCat-Flash,560.0,23000.0,3.726e+24,2025-09-01,Meituan Inc,Open weights (unrestricted),China,LongCat-Flash,560.0,23000.0,1.8055,1.0,0.0482142857142857,41.07142857142857,True,True,560000000000.0,23000000000000.0,7.728e+25,1.8057373870590019,1.8057373870590019,1.7970919327656403,1.7976684102277105,294.33967604462043,0.2762622605039927,1.7654319503091804,1.6642477558637354,1.937701596528875,-0.00023738705900178125
Hunyuan-TurboS,560.0,16000.0,5.4e+24,2025-03-11,Tencent,API access,China,Hunyuan-TurboS,560.0,16000.0,1.8134,1.0,0.1004464285714285,28.571428571428573,False,True,560000000000.0,16000000000000.0,5.376e+25,1.8137042467160873,1.8137042467160873,1.8045571353754897,1.8052725794666693,249.84056030228746,0.19904434174796212,1.8312637586889677,1.7182785585322378,2.022214255057422,-0.0003042467160874196
SenseChat 5.0,600.0,1835.0,,2024-04-23,SenseTime,Hosted access (no API),Hong Kong,SenseChat 5.0,600.0,1835.0,1.8811,1.0,,3.058333333333333,False,True,600000000000.0,1835000000000.0,6.606e+24,1.8815003191543163,1.8815003191543163,1.8681158508685978,1.870248075821645,96.91993853072333,0.026092984679997742,2.611984327217142,2.264865947114823,3.207177806372173,-0.0004003191543162643
GShard (600B),600.0,1000.0,1.33e+22,2020-06-30,Google,Unreleased,United States of America,GShard (600B),600.0,1000.0,1.909,1.0,0.0036944444444444,1.6666666666666667,False,True,600000000000.0,1000000000000.0,3.6e+24,1.9095178737062009,1.9095178737062009,1.8943691966491158,1.8972040780728543,73.67804498476703,0.015079039757714872,3.045617682064002,2.5294599276368315,3.991122917201246,-0.0005178737062008221
DeepSeek-V3.2-Exp,671.0,943.7,4.18e+24,2025-09-29,DeepSeek,Open weights (unrestricted),China,DeepSeek-V3.2-Exp,671.0,943.7,1.9105,1.0,1.100192186203474,1.4064083457526082,True,True,671000000000.0,943700000000.0,3.7993362e+24,1.9109494771714879,1.9109494771714879,1.8957603693513203,1.8985827206196848,75.49347232521285,0.01265825272180383,3.2235274732804804,2.6357651247671106,4.48598961138855,-0.00044947717148779986
DeepSeek-V3.1-Terminus,671.0,839.0,3.594e+24,2025-09-22,DeepSeek,Open weights (unrestricted),China,DeepSeek-V3.1-Terminus,671.0,839.0,1.9165,1.0,1.064001747875993,1.2503725782414308,True,True,671000000000.0,839000000000.0,3.377814e+24,1.9170479590821505,1.9170479590821505,1.901474842184428,1.9044568889544997,71.58829147974363,0.01138253396956016,3.3436005539438622,2.708338194793284,4.421297126946107,-0.0005479590821504399
DeepSeek-V3.1,671.0,840.0,3.594e+24,2025-08-21,DeepSeek,Open weights (unrestricted),China,DeepSeek-V3.1,671.0,840.0,1.9165,1.0,1.0627350791285215,1.2518628912071534,True,True,671000000000.0,840000000000.0,3.38184e+24,1.9169851731768144,1.9169851731768144,1.9014160097806265,1.9043964019087412,71.62681749383361,0.011394788533907284,3.3423340805159825,2.7467655121015415,4.60177726251417,-0.00048517317681429084
DeepSeek-R1 (May 2025),671.0,14800.0,4.02e+24,2025-05-28,DeepSeek,Open weights (unrestricted),China,DeepSeek-R1 (May 2025),671.0,14800.0,1.8128,1.0,0.0674668707455592,22.056631892697467,True,True,671000000000.0,14800000000000.0,5.95848e+25,1.8130691435833761,1.8130691435833761,1.8040433624996892,1.804666091650222,261.722829967856,0.152138165396717,1.8932890265242666,1.775420769828501,2.1293347580764044,-0.0002691435833761524
DeepSeek-V3 (Mar 2025),671.0,14800.0,3.3e+24,2025-03-24,DeepSeek,Open weights (restricted use),China,DeepSeek-V3 (Mar 2025),671.0,14800.0,1.8128,1.0,0.0553832521045635,22.056631892697467,True,True,671000000000.0,14800000000000.0,5.95848e+25,1.8130691435833761,1.8130691435833761,1.8040433624996892,1.804666091650222,261.722829967856,0.152138165396717,1.8932890265242666,1.743997558635415,2.114146622887329,-0.0002691435833761524
DeepSeek-R1,671.0,14800.0,3.4999999999999997e+24,2025-01-20,DeepSeek,Open weights (unrestricted),China,DeepSeek-R1,671.0,14800.0,1.8128,1.0,0.0587398128381734,22.056631892697467,True,True,671000000000.0,14800000000000.0,5.95848e+25,1.8130691435833761,1.8130691435833761,1.8040433624996892,1.804666091650222,261.722829967856,0.152138165396717,1.8932890265242666,1.7579360890397293,2.086480615009581,-0.0002691435833761524
DeepSeek-V3,671.0,14800.0,3.3e+24,2024-12-24,DeepSeek,Open weights (restricted use),China,DeepSeek-V3,671.0,14800.0,1.8128,1.0,0.0553832521045635,22.056631892697467,True,True,671000000000.0,14800000000000.0,5.95848e+25,1.8130691435833761,1.8130691435833761,1.8040433624996892,1.804666091650222,261.722829967856,0.152138165396717,1.8932890265242666,1.766391285884568,2.0866727990611045,-0.0002691435833761524
Pangu Ultra MoE,718.0,717.0,3.089e+24,2025-05-07,Huawei,Hosted access (no API),China,Pangu Ultra MoE,718.0,717.0,1.9241,1.0,1.000053094434279,0.9986072423398328,False,True,718000000000.0,717000000000.0,3.088836e+24,1.9246357968001253,1.9246357968001253,1.908614077242545,1.9117684729161348,68.75415565329831,0.009169570998824442,3.6214123053720257,2.938222807223163,5.016155479009288,-0.0005357968001253877
GLM-5,744.0,1532.3,6.84e+24,2026-02-17,Z.ai (Zhipu AI),Open weights (unrestricted),China,GLM-5,744.0,1532.3,1.886,1.0,0.9999726323279572,2.059543010752688,True,True,744000000000.0,1532300000000.0,6.8401872e+24,1.8864933684343599,1.8864933684343599,1.8728884695102754,1.875048262771033,98.45698901382285,0.01751246293948006,2.910560005865916,2.496481447147877,3.7860904337863004,-0.0004933684343599865
Kimi K2 Thinking,1000.0,700.0,4.1999999999999997e+24,2025-11-06,Moonshot,Open weights (restricted use),China,Kimi K2 Thinking,1000.0,700.0,1.9214,1.0,1.0,0.7,True,True,1000000000000.0,700000000000.0,4.2e+24,1.9219321655770916,1.9219321655770916,1.9062142186298328,1.9091629204301062,78.99062999317276,0.006239519626718323,4.2609705462232546,3.325566102434412,6.7547531923351976,-0.0005321655770915701
Ling-1T,1000.0,20000.0,6e+24,2025-10-10,Ant Group,Open weights (unrestricted),China,Ling-1T,1000.0,20000.0,1.8011,1.0,0.0499999999999999,20.0,True,True,1000000000000.0,20000000000000.0,1.2e+26,1.801344383492632,1.801344383492632,1.793219605409525,1.7934790267838552,359.0610236432653,0.12892481869974948,1.9357003665626837,1.792212096235039,2.2031171695194836,-0.00024438349263200543
Qwen3-Max,1000.0,36000.0,1.512e+25,2025-09-05,Alibaba,API access,China,Qwen3-Max,1000.0,36000.0,1.7894,1.0,0.07,36.0,False,True,1000000000000.0,36000000000000.0,2.16e+26,1.7895899981814547,1.7895899981814547,1.782205369979366,1.78228343812336,468.2370521809797,0.21924593703513348,1.8108073916542795,1.6886115221782318,1.9875336360295743,-0.00018999818145459813
Kimi K2,1000.0,15500.0,2.976e+24,2025-07-11,Moonshot,Open weights (restricted use),China,Kimi K2,1000.0,15500.0,1.8068,1.0,0.032,15.5,True,True,1000000000000.0,15500000000000.0,9.3e+25,1.807074796080634,1.807074796080634,1.798589185501151,1.7989443542212713,320.0145910879789,0.10240933850920633,2.000788336792446,1.843048907456949,2.252339450199185,-0.00027479608063396554
M6-T,1002.7,111.8,5.5e+21,2021-03-05,Alibaba,Unreleased,China,M6-T,1002.7,111.8,2.054,1.0,0.0081770870408989,0.1114989528273661,False,True,1002700000000.0,111800000000.0,6.7261116e+23,2.054883624090275,2.054883624090275,2.0307950188527104,2.037661814939709,34.53688725361358,0.001186381472496401,14.46970410909159,7.553708724158947,59.175079473417824,-0.0008836240902749815
Kimi K2.5,1040.0,929.5,5.8e+24,2026-02-02,Moonshot,Open weights (unrestricted),China,Kimi K2.5,1040.0,929.5,1.9059,1.0,0.9999862070867986,0.89375,True,True,1040000000000.0,929500000000.0,5.80008e+24,1.9063658715141703,1.9063658715141703,1.8916429384660751,1.8941690975675212,91.38859870806664,0.007721778821952698,3.8805045076085123,3.0188430784046343,5.712787433641971,-0.000465871514170324
PanGu-Σ,1085.0,329.0,4.67e+23,2023-03-20,Huawei Noah's Ark Lab,Unreleased,China,PanGu-Σ,1085.0,329.0,1.967,1.0,0.2180419182086012,0.3032258064516129,False,True,1085000000000.0,329000000000.0,2.14179e+24,1.9676381005165395,1.9676381005165395,1.949072781444921,1.9532588082136793,58.274183063315654,0.002884648569047399,6.5620309062737165,4.441137367157363,12.821540477850222,-0.0006381005165394527
MoE-1.1T,1100.0,112.0,2.227e+22,2021-12-20,Meta AI,Open weights (non-commercial),United States of America,MoE-1.1T,1100.0,112.0,2.0528,1.0,0.0301271645021645,0.1018181818181818,True,True,1100000000000.0,112000000000.0,7.392e+23,2.053671161387809,2.053671161387809,2.0296935878725457,2.03648714866856,36.041302818361075,0.0010735334783841337,16.33169636509899,7.9519046738629005,56.83820397621953,-0.0008711613878089608
GLaM,1200.0,600.0,3.636e+23,2021-12-13,Google,Unreleased,United States of America,GLaM,1200.0,600.0,1.9281,1.0,0.0841666666666666,0.5,False,True,1200000000000.0,600000000000.0,4.32e+24,1.9286370181523331,1.9286370181523331,1.9125641988497466,1.9156252457808731,80.00211093690152,0.00444467899608354,5.048542776666681,3.6667916018458007,8.184598765034297,-0.0005370181523332018
QMoE: compressed SwitchTransformer,1571.0,576.0,,2023-10-25,"Institute of Science and Technology Austria (ISTA),Neural Magic",Open weights (unrestricted),"Austria,United States of America",QMoE: compressed SwitchTransformer,1571.0,576.0,1.9277,1.0,,0.3666454487587524,True,True,1571000000000.0,576000000000.0,5.429376e+24,1.9282339084329467,1.9282339084329467,1.9122786044854079,1.9152366512362229,88.70261967708383,0.003188016219170338,6.142951032347726,4.149692088806108,10.89996903551428,-0.0005339084329467614
Switch,1571.0,86.4,8.22e+22,2021-01-11,Google,Open weights (unrestricted),United States of America,Switch,1571.0,86.4,2.074,1.0,0.1009324091755664,0.0549968173138128,True,True,1571000000000.0,86400000000.0,8.144064e+23,2.0748777340395286,2.0748777340395286,2.0496885648407313,2.057038663566383,37.653570850462806,0.0005744602288984749,45.577303308255296,14.017649533465748,704.7246182864465,-0.0008777340395287325
Wu Dao 2.0,1750.0,4900.0,1.544e+24,2021-05-31,Beijing Academy of Artificial Intelligence / BAAI,API access,China,Wu Dao 2.0,1750.0,4900.0,1.8325,1.0,0.0300097181729834,2.8,False,True,1750000000000.0,4900000000000.0,5.145e+25,1.8328743221922559,1.8328743221922559,1.8229582190261462,1.8236009916883615,244.93336636845274,0.019589340068761694,2.818334907252667,2.3713899739522146,3.5983835200452012,-0.0003743221922558604
GPT-4 (Mar 2023),1800.0,5416.7,2.1e+25,2023-03-15,OpenAI,API access,United States of America,GPT-4 (Mar 2023),1800.0,5416.7,1.8291,1.0,0.3589721499149749,3.0092777777777777,False,True,1800000000000.0,5416700000000.0,5.850036e+25,1.8294287606962156,1.8294287606962156,1.8197384438417064,1.8203037289286863,259.5605610321023,0.020793729889907325,2.772064872108111,2.3747318598031093,3.511998380904016,-0.0003287606962156797
GPT-4 (Jun 2023),1800.0,5416.7,2.1e+25,2023-03-15,OpenAI,API access,United States of America,GPT-4 (Jun 2023),1800.0,5416.7,1.8291,1.0,0.3589721499149749,3.0092777777777777,False,True,1800000000000.0,5416700000000.0,5.850036e+25,1.8294287606962156,1.8294287606962156,1.8197384438417064,1.8203037289286863,259.5605610321023,0.020793729889907325,2.772064872108111,2.369128996877678,3.5750742622891294,-0.0003287606962156797
Llama 4 Behemoth (preview),2000.0,30000.0,5.184e+25,2025-04-05,Meta AI,Unreleased,United States of America,Llama 4 Behemoth (preview),2000.0,30000.0,1.7857,1.0,0.144,15.0,False,True,2000000000000.0,30000000000000.0,3.6e+26,1.7859344007333697,1.7859344007333697,1.7790151071796714,1.778806134573612,589.7486665320147,0.08695087241907236,2.0519097043901198,1.891503289118174,2.2913502291159737,-0.00023440073336966627
Grok 4,3000.0,27777.8,5e+26,2025-07-09,xAI,API access,United States of America,Grok 4,3000.0,27777.8,1.7838,1.0,0.99999920000064,9.259266666666669,False,True,3000000000000.0,27777800000000.0,5.000004e+26,1.7840016564461096,1.7840016564461096,1.777318009893824,1.776968589120455,684.0769580170311,0.051995698276648336,2.24488629134439,2.035626743592492,2.653033022547302,-0.00020165644610958822
Grok 3,3000.0,19444.4,3.5000000000000006e+26,2025-02-17,xAI,API access,United States of America,Grok 3,3000.0,19444.4,1.7912,1.0,1.0000022857195103,6.481466666666667,False,True,3000000000000.0,19444400000000.0,3.499992e+26,1.7914220729669161,1.7914220729669161,1.784271177787026,1.7840269972260214,582.2917679118913,0.03767374477532843,2.3975648758467503,2.132654822659382,2.8430304244592266,-0.00022207296691623135
