experiment_id,N_params_B,D_tokens_B,Q_score,val_loss,data_type
N1.0_D0005_Q1.0,1.0,5,1.0,2.8125,calibrated
N1.0_D0010_Q0.05,1.0,10,0.05,0.5000,calibrated
N1.0_D0010_Q0.1,1.0,10,0.1,0.5575,calibrated
N1.0_D0010_Q0.2,1.0,10,0.2,0.7909,calibrated
N1.0_D0010_Q0.3,1.0,10,0.3,1.0090,calibrated
N1.0_D0010_Q0.4,1.0,10,0.4,1.2421,calibrated
N1.0_D0010_Q0.5,1.0,10,0.5,1.4971,calibrated
N1.0_D0010_Q0.6,1.0,10,0.6,1.7308,calibrated
N1.0_D0010_Q0.7,1.0,10,0.7,1.9717,calibrated
N1.0_D0010_Q0.8,1.0,10,0.8,2.1998,calibrated
N1.0_D0010_Q0.9,1.0,10,0.9,2.4605,calibrated
N1.0_D0010_Q0.95,1.0,10,0.95,2.6357,calibrated
N1.0_D0010_Q1.0,1.0,10,1.0,2.6513,calibrated
N1.0_D0020_Q0.05,1.0,20,0.05,0.5000,calibrated
N1.0_D0020_Q0.1,1.0,20,0.1,0.5188,calibrated
N1.0_D0020_Q0.2,1.0,20,0.2,0.7381,calibrated
N1.0_D0020_Q0.3,1.0,20,0.3,0.9701,calibrated
N1.0_D0020_Q0.4,1.0,20,0.4,1.2279,calibrated
N1.0_D0020_Q0.5,1.0,20,0.5,1.4233,calibrated
N1.0_D0020_Q0.6,1.0,20,0.6,1.6574,calibrated
N1.0_D0020_Q0.7,1.0,20,0.7,1.8968,calibrated
N1.0_D0020_Q0.8,1.0,20,0.8,2.0844,calibrated
N1.0_D0020_Q0.9,1.0,20,0.9,2.3062,calibrated
N1.0_D0020_Q0.95,1.0,20,0.95,2.4517,calibrated
N1.0_D0020_Q1.0,1.0,20,1.0,2.6133,calibrated
N1.0_D0050_Q0.05,1.0,50,0.05,0.5000,calibrated
N1.0_D0050_Q0.1,1.0,50,0.1,0.5001,calibrated
N1.0_D0050_Q0.2,1.0,50,0.2,0.7393,calibrated
N1.0_D0050_Q0.3,1.0,50,0.3,0.9480,calibrated
N1.0_D0050_Q0.4,1.0,50,0.4,1.1772,calibrated
N1.0_D0050_Q0.5,1.0,50,0.5,1.4083,calibrated
N1.0_D0050_Q0.6,1.0,50,0.6,1.5703,calibrated
N1.0_D0050_Q0.7,1.0,50,0.7,1.7603,calibrated
N1.0_D0050_Q0.8,1.0,50,0.8,2.0222,calibrated
N1.0_D0050_Q0.9,1.0,50,0.9,2.2400,calibrated
N1.0_D0050_Q0.95,1.0,50,0.95,2.3371,calibrated
N1.0_D0050_Q1.0,1.0,50,1.0,2.4688,calibrated
N1.0_D0100_Q0.05,1.0,100,0.05,0.5000,calibrated
N1.0_D0100_Q0.1,1.0,100,0.1,0.5000,calibrated
N1.0_D0100_Q0.2,1.0,100,0.2,0.7102,calibrated
N1.0_D0100_Q0.3,1.0,100,0.3,0.9137,calibrated
N1.0_D0100_Q0.4,1.0,100,0.4,1.1107,calibrated
N1.0_D0100_Q0.5,1.0,100,0.5,1.3086,calibrated
N1.0_D0100_Q0.6,1.0,100,0.6,1.5225,calibrated
N1.0_D0100_Q0.7,1.0,100,0.7,1.7077,calibrated
N1.0_D0100_Q0.8,1.0,100,0.8,1.9487,calibrated
N1.0_D0100_Q0.9,1.0,100,0.9,2.2185,calibrated
N1.0_D0100_Q0.95,1.0,100,0.95,2.3344,calibrated
N1.0_D0100_Q1.0,1.0,100,1.0,2.4489,calibrated
N1.0_D0150_Q0.05,1.0,150,0.05,0.5000,calibrated
N1.0_D0150_Q0.1,1.0,150,0.1,0.5000,calibrated
N1.0_D0150_Q0.2,1.0,150,0.2,0.6920,calibrated
N1.0_D0150_Q0.3,1.0,150,0.3,0.8980,calibrated
N1.0_D0150_Q0.4,1.0,150,0.4,1.1376,calibrated
N1.0_D0150_Q0.5,1.0,150,0.5,1.3264,calibrated
N1.0_D0150_Q0.6,1.0,150,0.6,1.5017,calibrated
N1.0_D0150_Q0.7,1.0,150,0.7,1.7164,calibrated
N1.0_D0150_Q0.8,1.0,150,0.8,1.9303,calibrated
N1.0_D0150_Q0.9,1.0,150,0.9,2.1019,calibrated
N1.0_D0150_Q0.95,1.0,150,0.95,2.1674,calibrated
N1.0_D0150_Q1.0,1.0,150,1.0,2.2789,calibrated
N1.0_D0300_Q0.05,1.0,300,0.05,0.5000,calibrated
N1.0_D0300_Q0.1,1.0,300,0.1,0.5000,calibrated
N1.0_D0300_Q0.2,1.0,300,0.2,0.6746,calibrated
N1.0_D0300_Q0.3,1.0,300,0.3,0.8578,calibrated
N1.0_D0300_Q0.4,1.0,300,0.4,1.1116,calibrated
N1.0_D0300_Q0.5,1.0,300,0.5,1.2964,calibrated
N1.0_D0300_Q0.6,1.0,300,0.6,1.5153,calibrated
N1.0_D0300_Q0.7,1.0,300,0.7,1.6587,calibrated
N1.0_D0300_Q0.8,1.0,300,0.8,2.0053,calibrated
N1.0_D0300_Q0.9,1.0,300,0.9,2.0139,calibrated
N1.0_D0300_Q0.95,1.0,300,0.95,2.1877,calibrated
N1.0_D0300_Q1.0,1.0,300,1.0,2.3325,calibrated
N1.0_D0500_Q0.05,1.0,500,0.05,0.5000,calibrated
N1.0_D0500_Q0.1,1.0,500,0.1,0.5000,calibrated
N1.0_D0500_Q0.2,1.0,500,0.2,0.6599,calibrated
N1.0_D0500_Q0.3,1.0,500,0.3,0.8544,calibrated
N1.0_D0500_Q0.4,1.0,500,0.4,1.0836,calibrated
N1.0_D0500_Q0.5,1.0,500,0.5,1.2157,calibrated
N1.0_D0500_Q0.6,1.0,500,0.6,1.4518,calibrated
N1.0_D0500_Q0.7,1.0,500,0.7,1.7070,calibrated
N1.0_D0500_Q0.8,1.0,500,0.8,1.8739,calibrated
N1.0_D0500_Q0.9,1.0,500,0.9,2.0431,calibrated
N1.0_D0500_Q0.95,1.0,500,0.95,2.1733,calibrated
N1.0_D0500_Q1.0,1.0,500,1.0,2.2572,calibrated
N1.0_D1000_Q0.05,1.0,1000,0.05,0.5000,calibrated
N1.0_D1000_Q0.1,1.0,1000,0.1,0.5000,calibrated
N1.0_D1000_Q0.2,1.0,1000,0.2,0.6605,calibrated
N1.0_D1000_Q0.3,1.0,1000,0.3,0.8357,calibrated
N1.0_D1000_Q0.4,1.0,1000,0.4,1.0525,calibrated
N1.0_D1000_Q0.5,1.0,1000,0.5,1.2565,calibrated
N1.0_D1000_Q0.6,1.0,1000,0.6,1.4070,calibrated
N1.0_D1000_Q0.7,1.0,1000,0.7,1.6907,calibrated
N1.0_D1000_Q0.8,1.0,1000,0.8,1.8615,calibrated
N1.0_D1000_Q0.9,1.0,1000,0.9,1.9758,calibrated
N1.0_D1000_Q0.95,1.0,1000,0.95,2.1305,calibrated
N1.0_D1000_Q1.0,1.0,1000,1.0,2.1409,calibrated
N1.0_D2000_Q0.05,1.0,2000,0.05,0.5000,calibrated
N1.0_D2000_Q0.1,1.0,2000,0.1,0.5000,calibrated
N1.0_D2000_Q0.2,1.0,2000,0.2,0.6467,calibrated
N1.0_D2000_Q0.3,1.0,2000,0.3,0.8314,calibrated
N1.0_D2000_Q0.4,1.0,2000,0.4,1.0295,calibrated
N1.0_D2000_Q0.5,1.0,2000,0.5,1.2251,calibrated
N1.0_D2000_Q0.6,1.0,2000,0.6,1.4304,calibrated
N1.0_D2000_Q0.7,1.0,2000,0.7,1.5995,calibrated
N1.0_D2000_Q0.8,1.0,2000,0.8,1.7725,calibrated
N1.0_D2000_Q0.9,1.0,2000,0.9,2.0270,calibrated
N1.0_D2000_Q0.95,1.0,2000,0.95,2.0759,calibrated
N1.0_D2000_Q1.0,1.0,2000,1.0,2.2081,calibrated
N2.8_D0005_Q0.05,2.8,5,0.05,0.5000,calibrated
N2.8_D0005_Q0.1,2.8,5,0.1,0.5000,calibrated
N2.8_D0005_Q0.2,2.8,5,0.2,0.6798,calibrated
N2.8_D0005_Q0.3,2.8,5,0.3,0.9253,calibrated
N2.8_D0005_Q0.4,2.8,5,0.4,1.2039,calibrated
N2.8_D0005_Q0.5,2.8,5,0.5,1.4628,calibrated
N2.8_D0005_Q0.6,2.8,5,0.6,1.7229,calibrated
N2.8_D0005_Q0.7,2.8,5,0.7,2.0084,calibrated
N2.8_D0005_Q0.8,2.8,5,0.8,2.2056,calibrated
N2.8_D0005_Q0.9,2.8,5,0.9,2.4428,calibrated
N2.8_D0005_Q0.95,2.8,5,0.95,2.6201,calibrated
N2.8_D0005_Q1.0,2.8,5,1.0,2.7210,calibrated
N2.8_D0010_Q0.05,2.8,10,0.05,0.5000,calibrated
N2.8_D0010_Q0.1,2.8,10,0.1,0.5000,calibrated
N2.8_D0010_Q0.2,2.8,10,0.2,0.6187,calibrated
N2.8_D0010_Q0.3,2.8,10,0.3,0.8552,calibrated
N2.8_D0010_Q0.4,2.8,10,0.4,1.1197,calibrated
N2.8_D0010_Q0.5,2.8,10,0.5,1.3934,calibrated
N2.8_D0010_Q0.6,2.8,10,0.6,1.6092,calibrated
N2.8_D0010_Q0.7,2.8,10,0.7,1.8538,calibrated
N2.8_D0010_Q0.8,2.8,10,0.8,2.1201,calibrated
N2.8_D0010_Q0.9,2.8,10,0.9,2.3574,calibrated
N2.8_D0010_Q0.95,2.8,10,0.95,2.4203,calibrated
N2.8_D0010_Q1.0,2.8,10,1.0,2.5409,calibrated
N2.8_D0020_Q0.05,2.8,20,0.05,0.5000,calibrated
N2.8_D0020_Q0.1,2.8,20,0.1,0.5000,calibrated
N2.8_D0020_Q0.2,2.8,20,0.2,0.6230,calibrated
N2.8_D0020_Q0.3,2.8,20,0.3,0.8308,calibrated
N2.8_D0020_Q0.4,2.8,20,0.4,1.0678,calibrated
N2.8_D0020_Q0.5,2.8,20,0.5,1.2966,calibrated
N2.8_D0020_Q0.6,2.8,20,0.6,1.5279,calibrated
N2.8_D0020_Q0.7,2.8,20,0.7,1.7488,calibrated
N2.8_D0020_Q0.8,2.8,20,0.8,2.0341,calibrated
N2.8_D0020_Q0.9,2.8,20,0.9,2.2362,calibrated
N2.8_D0020_Q0.95,2.8,20,0.95,2.3457,calibrated
N2.8_D0020_Q1.0,2.8,20,1.0,2.5073,calibrated
N2.8_D0050_Q0.05,2.8,50,0.05,0.5000,calibrated
N2.8_D0050_Q0.1,2.8,50,0.1,0.5000,calibrated
N2.8_D0050_Q0.2,2.8,50,0.2,0.5815,calibrated
N2.8_D0050_Q0.3,2.8,50,0.3,0.7750,calibrated
N2.8_D0050_Q0.4,2.8,50,0.4,1.0089,calibrated
N2.8_D0050_Q0.5,2.8,50,0.5,1.2746,calibrated
N2.8_D0050_Q0.6,2.8,50,0.6,1.4570,calibrated
N2.8_D0050_Q0.7,2.8,50,0.7,1.6925,calibrated
N2.8_D0050_Q0.8,2.8,50,0.8,1.9293,calibrated
N2.8_D0050_Q0.9,2.8,50,0.9,2.1407,calibrated
N2.8_D0050_Q0.95,2.8,50,0.95,2.2530,calibrated
N2.8_D0050_Q1.0,2.8,50,1.0,2.3101,calibrated
N2.8_D0100_Q0.05,2.8,100,0.05,0.5000,calibrated
N2.8_D0100_Q0.1,2.8,100,0.1,0.5000,calibrated
N2.8_D0100_Q0.2,2.8,100,0.2,0.5671,calibrated
N2.8_D0100_Q0.3,2.8,100,0.3,0.7708,calibrated
N2.8_D0100_Q0.4,2.8,100,0.4,0.9718,calibrated
N2.8_D0100_Q0.5,2.8,100,0.5,1.1999,calibrated
N2.8_D0100_Q0.6,2.8,100,0.6,1.4075,calibrated
N2.8_D0100_Q0.7,2.8,100,0.7,1.6363,calibrated
N2.8_D0100_Q0.8,2.8,100,0.8,1.8765,calibrated
N2.8_D0100_Q0.9,2.8,100,0.9,2.0444,calibrated
N2.8_D0100_Q0.95,2.8,100,0.95,2.1982,calibrated
N2.8_D0100_Q1.0,2.8,100,1.0,2.2588,calibrated
N2.8_D0150_Q0.05,2.8,150,0.05,0.5000,calibrated
N2.8_D0150_Q0.1,2.8,150,0.1,0.5000,calibrated
N2.8_D0150_Q0.2,2.8,150,0.2,0.5430,calibrated
N2.8_D0150_Q0.3,2.8,150,0.3,0.7457,calibrated
N2.8_D0150_Q0.4,2.8,150,0.4,0.9557,calibrated
N2.8_D0150_Q0.5,2.8,150,0.5,1.1935,calibrated
N2.8_D0150_Q0.6,2.8,150,0.6,1.3479,calibrated
N2.8_D0150_Q0.7,2.8,150,0.7,1.5964,calibrated
N2.8_D0150_Q0.8,2.8,150,0.8,1.8407,calibrated
N2.8_D0150_Q0.9,2.8,150,0.9,2.0695,calibrated
N2.8_D0150_Q0.95,2.8,150,0.95,2.1192,calibrated
N2.8_D0150_Q1.0,2.8,150,1.0,2.2385,calibrated
N2.8_D0300_Q0.05,2.8,300,0.05,0.5000,calibrated
N2.8_D0300_Q0.1,2.8,300,0.1,0.5000,calibrated
N2.8_D0300_Q0.2,2.8,300,0.2,0.5456,calibrated
N2.8_D0300_Q0.3,2.8,300,0.3,0.7388,calibrated
N2.8_D0300_Q0.4,2.8,300,0.4,0.9673,calibrated
N2.8_D0300_Q0.5,2.8,300,0.5,1.1519,calibrated
N2.8_D0300_Q0.6,2.8,300,0.6,1.3023,calibrated
N2.8_D0300_Q0.7,2.8,300,0.7,1.5956,calibrated
N2.8_D0300_Q0.8,2.8,300,0.8,1.7798,calibrated
N2.8_D0300_Q0.9,2.8,300,0.9,1.9735,calibrated
N2.8_D0300_Q0.95,2.8,300,0.95,2.0528,calibrated
N2.8_D0300_Q1.0,2.8,300,1.0,2.1322,calibrated
N2.8_D0500_Q0.05,2.8,500,0.05,0.5000,calibrated
N2.8_D0500_Q0.1,2.8,500,0.1,0.5000,calibrated
N2.8_D0500_Q0.2,2.8,500,0.2,0.5387,calibrated
N2.8_D0500_Q0.3,2.8,500,0.3,0.7277,calibrated
N2.8_D0500_Q0.4,2.8,500,0.4,0.9045,calibrated
N2.8_D0500_Q0.5,2.8,500,0.5,1.1600,calibrated
N2.8_D0500_Q0.6,2.8,500,0.6,1.3308,calibrated
N2.8_D0500_Q0.7,2.8,500,0.7,1.5099,calibrated
N2.8_D0500_Q0.8,2.8,500,0.8,1.7571,calibrated
N2.8_D0500_Q0.9,2.8,500,0.9,1.9167,calibrated
N2.8_D0500_Q0.95,2.8,500,0.95,2.0846,calibrated
N2.8_D0500_Q1.0,2.8,500,1.0,2.1517,calibrated
N2.8_D1000_Q0.05,2.8,1000,0.05,0.5000,calibrated
N2.8_D1000_Q0.1,2.8,1000,0.1,0.5000,calibrated
N2.8_D1000_Q0.2,2.8,1000,0.2,0.5190,calibrated
N2.8_D1000_Q0.3,2.8,1000,0.3,0.7239,calibrated
N2.8_D1000_Q0.4,2.8,1000,0.4,0.8987,calibrated
N2.8_D1000_Q0.5,2.8,1000,0.5,1.1398,calibrated
N2.8_D1000_Q0.6,2.8,1000,0.6,1.3353,calibrated
N2.8_D1000_Q0.7,2.8,1000,0.7,1.5354,calibrated
N2.8_D1000_Q0.8,2.8,1000,0.8,1.6984,calibrated
N2.8_D1000_Q0.9,2.8,1000,0.9,1.9178,calibrated
N2.8_D1000_Q0.95,2.8,1000,0.95,2.0038,calibrated
N2.8_D1000_Q1.0,2.8,1000,1.0,2.1237,calibrated
N2.8_D2000_Q0.05,2.8,2000,0.05,0.5000,calibrated
N2.8_D2000_Q0.1,2.8,2000,0.1,0.5000,calibrated
N2.8_D2000_Q0.2,2.8,2000,0.2,0.5242,calibrated
N2.8_D2000_Q0.3,2.8,2000,0.3,0.6887,calibrated
N2.8_D2000_Q0.4,2.8,2000,0.4,0.9232,calibrated
N2.8_D2000_Q0.5,2.8,2000,0.5,1.1045,calibrated
N2.8_D2000_Q0.6,2.8,2000,0.6,1.2855,calibrated
N2.8_D2000_Q0.7,2.8,2000,0.7,1.4788,calibrated
N2.8_D2000_Q0.8,2.8,2000,0.8,1.6576,calibrated
N2.8_D2000_Q0.9,2.8,2000,0.9,1.8775,calibrated
N2.8_D2000_Q0.95,2.8,2000,0.95,1.8822,calibrated
N2.8_D2000_Q1.0,2.8,2000,1.0,2.0839,calibrated
N4.0_D0005_Q0.05,4.0,5,0.05,0.5000,calibrated
N4.0_D0005_Q0.1,4.0,5,0.1,0.5000,calibrated
N4.0_D0005_Q0.2,4.0,5,0.2,0.6084,calibrated
N4.0_D0005_Q0.3,4.0,5,0.3,0.8843,calibrated
N4.0_D0005_Q0.4,4.0,5,0.4,1.1447,calibrated
N4.0_D0005_Q0.5,4.0,5,0.5,1.3943,calibrated
N4.0_D0005_Q0.6,4.0,5,0.6,1.6246,calibrated
N4.0_D0005_Q0.7,4.0,5,0.7,1.9244,calibrated
N4.0_D0005_Q0.8,4.0,5,0.8,2.1965,calibrated
N4.0_D0005_Q0.9,4.0,5,0.9,2.4512,calibrated
N4.0_D0005_Q0.95,4.0,5,0.95,2.5824,calibrated
N4.0_D0005_Q1.0,4.0,5,1.0,2.6973,calibrated
N4.0_D0010_Q0.05,4.0,10,0.05,0.5000,calibrated
N4.0_D0010_Q0.1,4.0,10,0.1,0.5000,calibrated
N4.0_D0010_Q0.2,4.0,10,0.2,0.5947,calibrated
N4.0_D0010_Q0.3,4.0,10,0.3,0.8162,calibrated
N4.0_D0010_Q0.4,4.0,10,0.4,1.0969,calibrated
N4.0_D0010_Q0.5,4.0,10,0.5,1.3190,calibrated
N4.0_D0010_Q0.6,4.0,10,0.6,1.5567,calibrated
N4.0_D0010_Q0.7,4.0,10,0.7,1.8430,calibrated
N4.0_D0010_Q0.8,4.0,10,0.8,2.1045,calibrated
N4.0_D0010_Q0.9,4.0,10,0.9,2.3491,calibrated
N4.0_D0010_Q0.95,4.0,10,0.95,2.4433,calibrated
N4.0_D0010_Q1.0,4.0,10,1.0,2.4904,calibrated
N4.0_D0020_Q0.05,4.0,20,0.05,0.5000,calibrated
N4.0_D0020_Q0.1,4.0,20,0.1,0.5000,calibrated
N4.0_D0020_Q0.2,4.0,20,0.2,0.5655,calibrated
N4.0_D0020_Q0.3,4.0,20,0.3,0.8094,calibrated
N4.0_D0020_Q0.4,4.0,20,0.4,1.0284,calibrated
N4.0_D0020_Q0.5,4.0,20,0.5,1.2902,calibrated
N4.0_D0020_Q0.6,4.0,20,0.6,1.5025,calibrated
N4.0_D0020_Q0.7,4.0,20,0.7,1.7203,calibrated
N4.0_D0020_Q0.8,4.0,20,0.8,1.9253,calibrated
N4.0_D0020_Q0.9,4.0,20,0.9,2.2398,calibrated
N4.0_D0020_Q0.95,4.0,20,0.95,2.2806,calibrated
N4.0_D0020_Q1.0,4.0,20,1.0,2.4139,calibrated
N4.0_D0050_Q0.05,4.0,50,0.05,0.5000,calibrated
N4.0_D0050_Q0.1,4.0,50,0.1,0.5000,calibrated
N4.0_D0050_Q0.2,4.0,50,0.2,0.5298,calibrated
N4.0_D0050_Q0.3,4.0,50,0.3,0.7483,calibrated
N4.0_D0050_Q0.4,4.0,50,0.4,0.9837,calibrated
N4.0_D0050_Q0.5,4.0,50,0.5,1.2097,calibrated
N4.0_D0050_Q0.6,4.0,50,0.6,1.4472,calibrated
N4.0_D0050_Q0.7,4.0,50,0.7,1.6591,calibrated
N4.0_D0050_Q0.8,4.0,50,0.8,1.9213,calibrated
N4.0_D0050_Q0.9,4.0,50,0.9,2.0499,calibrated
N4.0_D0050_Q0.95,4.0,50,0.95,2.2424,calibrated
N4.0_D0050_Q1.0,4.0,50,1.0,2.4043,calibrated
N4.0_D0100_Q0.05,4.0,100,0.05,0.5000,calibrated
N4.0_D0100_Q0.1,4.0,100,0.1,0.5000,calibrated
N4.0_D0100_Q0.2,4.0,100,0.2,0.5116,calibrated
N4.0_D0100_Q0.3,4.0,100,0.3,0.7220,calibrated
N4.0_D0100_Q0.4,4.0,100,0.4,0.9435,calibrated
N4.0_D0100_Q0.5,4.0,100,0.5,1.1487,calibrated
N4.0_D0100_Q0.6,4.0,100,0.6,1.3727,calibrated
N4.0_D0100_Q0.7,4.0,100,0.7,1.6045,calibrated
N4.0_D0100_Q0.8,4.0,100,0.8,1.8522,calibrated
N4.0_D0100_Q0.9,4.0,100,0.9,2.1002,calibrated
N4.0_D0100_Q0.95,4.0,100,0.95,2.1195,calibrated
N4.0_D0100_Q1.0,4.0,100,1.0,2.2786,calibrated
N4.0_D0150_Q0.05,4.0,150,0.05,0.5000,calibrated
N4.0_D0150_Q0.1,4.0,150,0.1,0.5000,calibrated
N4.0_D0150_Q0.2,4.0,150,0.2,0.5190,calibrated
N4.0_D0150_Q0.3,4.0,150,0.3,0.7060,calibrated
N4.0_D0150_Q0.4,4.0,150,0.4,0.9268,calibrated
N4.0_D0150_Q0.5,4.0,150,0.5,1.1676,calibrated
N4.0_D0150_Q0.6,4.0,150,0.6,1.3551,calibrated
N4.0_D0150_Q0.7,4.0,150,0.7,1.5337,calibrated
N4.0_D0150_Q0.8,4.0,150,0.8,1.7552,calibrated
N4.0_D0150_Q0.9,4.0,150,0.9,2.0344,calibrated
N4.0_D0150_Q0.95,4.0,150,0.95,2.1044,calibrated
N4.0_D0150_Q1.0,4.0,150,1.0,2.1522,calibrated
N4.0_D0300_Q0.05,4.0,300,0.05,0.5000,calibrated
N4.0_D0300_Q0.1,4.0,300,0.1,0.5000,calibrated
N4.0_D0300_Q0.2,4.0,300,0.2,0.5000,calibrated
N4.0_D0300_Q0.3,4.0,300,0.3,0.7051,calibrated
N4.0_D0300_Q0.4,4.0,300,0.4,0.8970,calibrated
N4.0_D0300_Q0.5,4.0,300,0.5,1.1071,calibrated
N4.0_D0300_Q0.6,4.0,300,0.6,1.3625,calibrated
N4.0_D0300_Q0.7,4.0,300,0.7,1.5086,calibrated
N4.0_D0300_Q0.8,4.0,300,0.8,1.7422,calibrated
N4.0_D0300_Q0.9,4.0,300,0.9,1.9926,calibrated
N4.0_D0300_Q0.95,4.0,300,0.95,2.0785,calibrated
N4.0_D0300_Q1.0,4.0,300,1.0,2.2315,calibrated
N4.0_D0500_Q0.05,4.0,500,0.05,0.5000,calibrated
N4.0_D0500_Q0.1,4.0,500,0.1,0.5000,calibrated
N4.0_D0500_Q0.2,4.0,500,0.2,0.5000,calibrated
N4.0_D0500_Q0.3,4.0,500,0.3,0.6833,calibrated
N4.0_D0500_Q0.4,4.0,500,0.4,0.8880,calibrated
N4.0_D0500_Q0.5,4.0,500,0.5,1.0678,calibrated
N4.0_D0500_Q0.6,4.0,500,0.6,1.2876,calibrated
N4.0_D0500_Q0.7,4.0,500,0.7,1.5155,calibrated
N4.0_D0500_Q0.8,4.0,500,0.8,1.7157,calibrated
N4.0_D0500_Q0.9,4.0,500,0.9,1.9644,calibrated
N4.0_D0500_Q0.95,4.0,500,0.95,1.9848,calibrated
N4.0_D0500_Q1.0,4.0,500,1.0,2.1365,calibrated
N4.0_D1000_Q0.05,4.0,1000,0.05,0.5000,calibrated
N4.0_D1000_Q0.1,4.0,1000,0.1,0.5000,calibrated
N4.0_D1000_Q0.2,4.0,1000,0.2,0.5000,calibrated
N4.0_D1000_Q0.3,4.0,1000,0.3,0.6866,calibrated
N4.0_D1000_Q0.4,4.0,1000,0.4,0.8604,calibrated
N4.0_D1000_Q0.5,4.0,1000,0.5,1.1039,calibrated
N4.0_D1000_Q0.6,4.0,1000,0.6,1.2945,calibrated
N4.0_D1000_Q0.7,4.0,1000,0.7,1.4835,calibrated
N4.0_D1000_Q0.8,4.0,1000,0.8,1.7176,calibrated
N4.0_D1000_Q0.9,4.0,1000,0.9,1.8943,calibrated
N4.0_D1000_Q0.95,4.0,1000,0.95,1.9293,calibrated
N4.0_D1000_Q1.0,4.0,1000,1.0,2.1308,calibrated
N4.0_D2000_Q0.05,4.0,2000,0.05,0.5000,calibrated
N4.0_D2000_Q0.1,4.0,2000,0.1,0.5000,calibrated
N4.0_D2000_Q0.2,4.0,2000,0.2,0.5000,calibrated
N4.0_D2000_Q0.3,4.0,2000,0.3,0.6420,calibrated
N4.0_D2000_Q0.4,4.0,2000,0.4,0.8502,calibrated
N4.0_D2000_Q0.5,4.0,2000,0.5,1.0844,calibrated
N4.0_D2000_Q0.6,4.0,2000,0.6,1.2810,calibrated
N4.0_D2000_Q0.7,4.0,2000,0.7,1.4643,calibrated
N4.0_D2000_Q0.8,4.0,2000,0.8,1.6704,calibrated
N4.0_D2000_Q0.9,4.0,2000,0.9,1.8145,calibrated
N4.0_D2000_Q0.95,4.0,2000,0.95,1.9664,calibrated
N4.0_D2000_Q1.0,4.0,2000,1.0,2.0978,calibrated
N6.9_D0005_Q0.05,6.9,5,0.05,0.5000,calibrated
N6.9_D0005_Q0.1,6.9,5,0.1,0.5000,calibrated
N6.9_D0005_Q0.2,6.9,5,0.2,0.5546,calibrated
N6.9_D0005_Q0.3,6.9,5,0.3,0.7947,calibrated
N6.9_D0005_Q0.4,6.9,5,0.4,1.0436,calibrated
N6.9_D0005_Q0.5,6.9,5,0.5,1.3381,calibrated
N6.9_D0005_Q0.6,6.9,5,0.6,1.6422,calibrated
N6.9_D0005_Q0.7,6.9,5,0.7,1.8729,calibrated
N6.9_D0005_Q0.8,6.9,5,0.8,2.1078,calibrated
N6.9_D0005_Q0.9,6.9,5,0.9,2.4650,calibrated
N6.9_D0005_Q0.95,6.9,5,0.95,2.5263,calibrated
N6.9_D0005_Q1.0,6.9,5,1.0,2.6330,calibrated
N6.9_D0010_Q0.05,6.9,10,0.05,0.5000,calibrated
N6.9_D0010_Q0.1,6.9,10,0.1,0.5000,calibrated
N6.9_D0010_Q0.2,6.9,10,0.2,0.5272,calibrated
N6.9_D0010_Q0.3,6.9,10,0.3,0.7496,calibrated
N6.9_D0010_Q0.4,6.9,10,0.4,1.0046,calibrated
N6.9_D0010_Q0.5,6.9,10,0.5,1.2545,calibrated
N6.9_D0010_Q0.6,6.9,10,0.6,1.4702,calibrated
N6.9_D0010_Q0.7,6.9,10,0.7,1.7949,calibrated
N6.9_D0010_Q0.8,6.9,10,0.8,2.0045,calibrated
N6.9_D0010_Q0.9,6.9,10,0.9,2.2827,calibrated
N6.9_D0010_Q0.95,6.9,10,0.95,2.3738,calibrated
N6.9_D0010_Q1.0,6.9,10,1.0,2.5140,calibrated
N6.9_D0020_Q0.05,6.9,20,0.05,0.5000,calibrated
N6.9_D0020_Q0.1,6.9,20,0.1,0.5000,calibrated
N6.9_D0020_Q0.2,6.9,20,0.2,0.5000,calibrated
N6.9_D0020_Q0.3,6.9,20,0.3,0.7321,calibrated
N6.9_D0020_Q0.4,6.9,20,0.4,0.9636,calibrated
N6.9_D0020_Q0.5,6.9,20,0.5,1.2142,calibrated
N6.9_D0020_Q0.6,6.9,20,0.6,1.4457,calibrated
N6.9_D0020_Q0.7,6.9,20,0.7,1.6657,calibrated
N6.9_D0020_Q0.8,6.9,20,0.8,1.9664,calibrated
N6.9_D0020_Q0.9,6.9,20,0.9,2.1852,calibrated
N6.9_D0020_Q0.95,6.9,20,0.95,2.2902,calibrated
N6.9_D0020_Q1.0,6.9,20,1.0,2.4144,calibrated
N6.9_D0050_Q0.05,6.9,50,0.05,0.5000,calibrated
N6.9_D0050_Q0.1,6.9,50,0.1,0.5000,calibrated
N6.9_D0050_Q0.2,6.9,50,0.2,0.5000,calibrated
N6.9_D0050_Q0.3,6.9,50,0.3,0.6906,calibrated
N6.9_D0050_Q0.4,6.9,50,0.4,0.9193,calibrated
N6.9_D0050_Q0.5,6.9,50,0.5,1.1536,calibrated
N6.9_D0050_Q0.6,6.9,50,0.6,1.3376,calibrated
N6.9_D0050_Q0.7,6.9,50,0.7,1.6134,calibrated
N6.9_D0050_Q0.8,6.9,50,0.8,1.8718,calibrated
N6.9_D0050_Q0.9,6.9,50,0.9,2.0446,calibrated
N6.9_D0050_Q0.95,6.9,50,0.95,2.1785,calibrated
